Control Cell X	Control Cell Y	SAR X	SAR Y
202.456056441152	786.719970703125	202.456056441152	781.200012207031
205.379887779119	786.400024414063	205.379887779119	781.280029296875
208.302749317080	786.840026855469	208.302749317080	781.280029296875
211.224641509656	786.440002441406	211.224641509656	781.799987792969
214.145564811189	786.599975585938	214.145564811189	781.559997558594
217.065519675740	786.559997558594	217.065519675740	781.960021972656
219.984506557089	787.640014648438	219.984506557089	781.400024414063
222.902525908723	786.799987792969	222.902525908723	781.960021972656
225.819578183856	786.799987792969	225.819578183856	782.000000000000
228.735663835415	786.599975585938	228.735663835415	781.919982910156
231.650783316047	786.039978027344	231.650783316047	781.239990234375
234.564937078107	786.320007324219	234.564937078107	781.719970703125
237.478125573679	786.760009765625	237.478125573679	782.080017089844
240.390349254566	786.840026855469	240.390349254566	782.599975585938
243.301608572278	786.559997558594	243.301608572278	782.320007324219
246.211903978051	786.679992675781	246.211903978051	782.080017089844
249.121235922839	787.440002441406	249.121235922839	783.080017089844
252.029604857321	787.919982910156	252.029604857321	783.159973144531
254.937011231880	788.400024414063	254.937011231880	783.960021972656
257.843455496632	787.799987792969	257.843455496632	784.000000000000
260.748938101415	788.799987792969	260.748938101415	785.119995117188
263.653459495766	789.520019531250	263.653459495766	785.520019531250
266.557020128967	789.359985351563	266.557020128967	785.440002441406
269.459620450005	790.599975585938	269.459620450005	786.719970703125
272.361260907595	790.679992675781	272.361260907595	785.520019531250
275.261941950168	790.119995117188	275.261941950168	786.159973144531
278.161664025874	791.080017089844	278.161664025874	786.440002441406
281.060427582592	791.000000000000	281.060427582592	786.359985351563
283.958233067921	792.159973144531	283.958233067921	787.599975585938
286.855080929176	791.200012207031	286.855080929176	786.039978027344
289.750971613398	791.919982910156	289.750971613398	786.359985351563
292.645905567344	792.320007324219	292.645905567344	786.479980468750
295.539883237503	792.440002441406	295.539883237503	786.159973144531
298.432905070079	793.599975585938	298.432905070079	785.919982910156
301.324971511007	794.039978027344	301.324971511007	787.000000000000
304.216083005931	796.719970703125	304.216083005931	786.520019531250
307.106240000230	800.320007324219	307.106240000230	786.039978027344
309.995442939003	805.520019531250	309.995442939003	787.440002441406
312.883692267071	820.039978027344	312.883692267071	789.119995117188
315.770988428979	846.679992675781	315.770988428979	791.520019531250
318.657331869000	884.080017089844	318.657331869000	795.039978027344
321.542723031127	905.280029296875	321.542723031127	798.239990234375
324.427162359076	898.200012207031	324.427162359076	795.880004882813
327.310650296293	866.119995117188	327.310650296293	794.239990234375
330.193187285945	836.440002441406	330.193187285945	790.719970703125
333.074773770929	817.200012207031	333.074773770929	788.919982910156
335.955410193855	808.039978027344	335.955410193855	787.880004882813
338.835096997075	801.080017089844	338.835096997075	786.159973144531
341.713834622655	798.719970703125	341.713834622655	786.479980468750
344.591623512390	796.440002441406	344.591623512390	786.359985351563
347.468464107802	795.359985351563	347.468464107802	785.559997558594
350.344356850137	794.359985351563	350.344356850137	785.559997558594
353.219302180373	793.039978027344	353.219302180373	785.599975585938
356.093300539208	793.039978027344	356.093300539208	785.159973144531
358.966352367073	791.679992675781	358.966352367073	785.080017089844
361.838458104123	790.200012207031	361.838458104123	785.080017089844
364.709618190240	791.599975585938	364.709618190240	784.840026855469
367.579833065031	791.559997558594	367.579833065031	785.119995117188
370.449103167837	791.000000000000	370.449103167837	785.520019531250
373.317428937727	790.479980468750	373.317428937727	784.239990234375
376.184810813496	790.640014648438	376.184810813496	785.000000000000
379.051249233659	790.840026855469	379.051249233659	785.119995117188
381.916744636474	791.640014648438	381.916744636474	785.000000000000
384.781297459920	790.000000000000	384.781297459920	784.200012207031
387.644908141706	790.640014648438	387.644908141706	785.599975585938
390.507577119270	789.760009765625	390.507577119270	784.520019531250
393.369304829780	790.119995117188	393.369304829780	784.840026855469
396.230091710140	790.239990234375	396.230091710140	785.039978027344
399.089938196969	790.080017089844	399.089938196969	785.280029296875
401.948844726631	790.760009765625	401.948844726631	785.440002441406
404.806811735214	790.039978027344	404.806811735214	784.919982910156
407.663839658530	789.719970703125	407.663839658530	784.640014648438
410.519928932138	789.640014648438	410.519928932138	785.359985351563
413.375079991314	790.039978027344	413.375079991314	785.599975585938
416.229293271071	789.520019531250	416.229293271071	784.960021972656
419.082569206155	789.640014648438	419.082569206155	784.880004882813
421.934908231031	789.159973144531	421.934908231031	784.599975585938
424.786310779917	789.440002441406	424.786310779917	785.400024414063
427.636777286748	790.400024414063	427.636777286748	785.080017089844
430.486308185189	790.479980468750	430.486308185189	785.919982910156
433.334903908649	789.880004882813	433.334903908649	785.159973144531
436.182564890262	789.919982910156	436.182564890262	784.960021972656
439.029291562898	790.280029296875	439.029291562898	785.000000000000
441.875084359157	789.719970703125	441.875084359157	784.840026855469
444.719943711374	790.520019531250	444.719943711374	785.080017089844
447.563870051618	789.880004882813	447.563870051618	785.599975585938
450.406863811695	789.599975585938	450.406863811695	784.359985351563
453.248925423132	789.039978027344	453.248925423132	784.919982910156
456.090055317208	789.520019531250	456.090055317208	785.840026855469
458.930253924920	790.239990234375	458.930253924920	785.599975585938
461.769521677010	789.159973144531	461.769521677010	785.039978027344
464.607859003950	788.440002441406	464.607859003950	785.000000000000
467.445266335950	790.000000000000	467.445266335950	785.039978027344
470.281744102955	789.679992675781	470.281744102955	785.080017089844
473.117292734635	789.000000000000	473.117292734635	785.239990234375
475.951912660415	789.559997558594	475.951912660415	785.679992675781
478.785604309439	789.679992675781	478.785604309439	785.799987792969
481.618368110592	789.359985351563	481.618368110592	784.719970703125
484.450204492499	789.239990234375	484.450204492499	784.520019531250
487.281113883518	789.599975585938	487.281113883518	785.599975585938
490.111096711738	789.159973144531	490.111096711738	784.840026855469
492.940153404999	789.760009765625	492.940153404999	785.200012207031
495.768284390864	789.679992675781	495.768284390864	784.760009765625
498.595490096635	789.320007324219	498.595490096635	785.679992675781
501.421770949366	789.719970703125	501.421770949366	784.880004882813
504.247127375825	789.760009765625	504.247127375825	785.599975585938
507.071559802537	790.880004882813	507.071559802537	785.159973144531
509.895068655750	790.719970703125	509.895068655750	785.119995117188
512.717654361473	790.440002441406	512.717654361473	784.440002441406
515.539317345424	789.559997558594	515.539317345424	785.599975585938
518.360058033083	789.919982910156	518.360058033083	785.960021972656
521.179876849652	790.679992675781	521.179876849652	785.599975585938
523.998774220083	789.400024414063	523.998774220083	785.359985351563
526.816750569068	790.200012207031	526.816750569068	785.440002441406
529.633806321025	790.080017089844	529.633806321025	785.520019531250
532.449941900130	790.000000000000	532.449941900130	785.200012207031
535.265157730284	789.559997558594	535.265157730284	785.760009765625
538.079454235133	789.719970703125	538.079454235133	785.479980468750
540.892831838066	790.039978027344	540.892831838066	785.520019531250
543.705290962208	789.760009765625	543.705290962208	785.840026855469
546.516832030424	789.919982910156	546.516832030424	785.840026855469
549.327455465330	789.599975585938	549.327455465330	785.919982910156
552.137161689268	789.559997558594	552.137161689268	785.919982910156
554.945951124325	789.359985351563	554.945951124325	784.520019531250
557.753824192341	789.280029296875	557.753824192341	785.400024414063
560.560781314883	789.760009765625	560.560781314883	785.239990234375
563.366822913270	789.760009765625	563.366822913270	785.000000000000
566.171949408555	790.280029296875	566.171949408555	785.760009765625
568.976161221537	789.840026855469	568.976161221537	785.719970703125
571.779458772759	788.640014648438	571.779458772759	786.119995117188
574.581842482500	789.679992675781	574.581842482500	785.960021972656
577.383312770792	789.400024414063	577.383312770792	785.080017089844
580.183870057402	789.239990234375	580.183870057402	786.000000000000
582.983514761843	789.919982910156	582.983514761843	784.840026855469
585.782247303363	789.799987792969	585.782247303363	785.200012207031
588.580068100976	789.280029296875	588.580068100976	785.880004882813
